FECHA,SEMANA,00 TOTAL CDMX,Azcapotzalco,Benito Juárez,Coyoacán,Cuajimalpa de Morelos,Cuauhtémoc,Gustavo A. Madero,Iztacalco,Iztapalapa,Magdalena Contreras,Miguel Hidalgo,Milpa Alta,Tlalpan,Tláhuac,Venustiano Carranza,Xochimilco,Álvaro Obregón
2020-04-12,15,-70.6521479571125,-62.7412172191984,-69.1854759568204,-76.4988009592326,-75.7062146892655,-70.1805902217002,-67.8108314263921,-61.3716295427902,-71.7752473399291,-80.0389483933788,-74.84008528784649,-72.0930232558139,-76.6214177978884,-68.6206896551724,-70.1834862385321,-75.7656458055925,-74.8085449415558
2020-04-14,16,-72.74409551354982,-66.7164179104478,-75.7012937107724,-81.44543383723341,-80.0595238095238,-68.3286457001619,-67.2955974842767,-69.704893537542,-66.0405607731047,-75.5765819041987,-82.6336522228475,-70.9302325581395,-73.65535248041779,-63.9,-65.1898734177215,-69.2028985507246,-80.731561063362
2020-04-15,16,-71.64219209737878,-61.7343427391604,-74.251497005988,-81.15330520393809,-75.93431483578709,-69.1929133858268,-66.1220567035079,-66.250445950767,-62.79387643521051,-72.4913494809689,-82.12490224555921,-64.5569620253165,-71.19979664463649,-62.2676579925651,-68.7840290381125,-69.7466467958271,-80.18450893715159
2020-04-16,16,-73.53731517661262,-63.438421410750706,-76.1113766730402,-82.9268292682927,-78.7654320987654,-70.97381213736871,-66.1652892561983,-67.8779069767442,-64.66431095406361,-73.2507739938081,-84.8967913345596,-54.609929078014204,-75.09284476355529,-51.0330578512397,-71.8192627824019,-71.2114014251781,-81.1804808037316
2020-04-17,16,-72.98934888658295,-63.841436706088494,-77.922642329422,-82.5,-74.8128342245989,-67.85348562426151,-67.7704824436198,-69.50399999999999,-64.5044835216024,-74.1796664873588,-84.3109738984002,-58.5858585858586,-74.92839832562241,-54.420600858369106,-67.81661370857921,-68.5418541854185,-81.2678288431062
2020-04-20,17,-68.75140304404435,-62.457002457002496,-70.29688838138739,-78.968347010551,-78.4200385356455,-62.72973495840589,-63.6854951185495,-66.3328197226502,-62.0271440947156,-73.345259391771,-77.5612988734261,-64.4171779141104,-73.3784839802032,-56.9055036344756,-67.50882912252099,-61.947904869762205,-76.6574291195907
2020-04-26,17,-69.72801299042433,-61.25680356259279,-66.48675171737,-75.74511819116141,-76.1581920903955,-65.99618264572021,-71.70099160945841,-64.8300117233294,-73.8846369236513,-75.1703992210321,-73.2054015636105,-73.83720930232559,-72.0965309200603,-71.8390804597701,-72.8523769808173,-74.36750998668441,-70.6166868198307
2020-04-27,18,-72.65149134228288,-64.7420147420147,-72.5235512417927,-82.0398593200469,-79.9614643545279,-65.6026310698394,-70.03138075313811,-71.6101694915254,-70.9644816632977,-77.87716159809179,-77.7335984095428,-68.0981595092025,-75.87913519145609,-62.6168224299065,-74.2189622385221,-72.083805209513,-79.06629716478359
2020-04-28,18,-74.44381999369458,-71.17270788912579,-76.2520814653516,-81.9631393663284,-81.7261904761905,-69.0701440381829,-70.8434123528463,-70.1158012700784,-69.933306111338,-77.5872264931993,-81.3055711873945,-67.4418604651163,-75.27415143603129,-69.5,-71.74913693901041,-72.2049689440994,-81.0713571856886
2020-05-03,18,-67.01291878596844,-58.2384957941613,-64.8429833169774,-75.33401849948609,-66.5536723163842,-64.1902804287183,-64.0986524281719,-61.01993,-72.26059000000001,-72.63875,-73.34755,-65.11628,-69.45701,-67.12644,-67.598,-69.44075,-70.9391374445788
